cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
50014815,50018440,13,13,288,0.04337526275399553,94.46131260218196,Long tail: remaining 20% of trade rows
50022520,50012373,13,13,289,0.04337526275399553,94.50468786493596,Long tail: remaining 20% of trade rows
28,252819,12,120,290,0.04003870408061126,94.54472656901658,Long tail: remaining 20% of trade rows
28,50006820,12,13,291,0.04003870408061126,94.58476527309719,Long tail: remaining 20% of trade rows
28,50012426,12,12,292,0.04003870408061126,94.6248039771778,Long tail: remaining 20% of trade rows
28,50013078,12,12,293,0.04003870408061126,94.66484268125842,Long tail: remaining 20% of trade rows
28,50023535,12,98,294,0.04003870408061126,94.70488138533904,Long tail: remaining 20% of trade rows
28,50023651,12,71,295,0.04003870408061126,94.74492008941965,Long tail: remaining 20% of trade rows
28,122692024,12,18,296,0.04003870408061126,94.78495879350027,Long tail: remaining 20% of trade rows
50008168,121454026,12,17,297,0.04003870408061126,94.82499749758088,Long tail: remaining 20% of trade rows
50014815,50008728,12,12,298,0.04003870408061126,94.8650362016615,Long tail: remaining 20% of trade rows
